sep=,
"Eye Diagram"
"t0","dt","Y"
"0","4.9999999999999998E-08","[42]{0.328316924493828, 0.326363747028909, 0.327279298965589, 0.330697359529199, 0.334695269652706, 0.342294350727159, 0.348123364724028, 0.355051041044915, 0.363046861291929, 0.371256310324169, 0.377268434708375, 0.383097448705244, 0.38715639562453, 0.389964088230352, 0.389475793864122, 0.388529723529552, 0.383463669479917, 0.375925625201243, 0.366129219478755, 0.351907646062309, 0.333382978543462, 0.313515501517483, 0.288978709614431, 0.262641332235906, 0.233343670262113, 0.200994168499382, 0.166844081261178, 0.131747923688404, 0.0929590399710166, 0.0535292698979518, 0.0145877941911182, -0.0249030126777246, -0.0650041875043539, -0.103030111274508, -0.140384630291095, -0.177647594114015, -0.21124835019021, -0.243384223167715, -0.272559811549951, -0.298042673787573, -0.321175619387714, -0.340829467628468}"
"0","4.9999999999999998E-08","[42]{-0.321175619387714, -0.340829467628468, -0.356454887347825, -0.37024920319382, -0.381205308036104, -0.38959786745568, -0.394053553547528, -0.394847031892651, -0.393138001610846, -0.389933569832463, -0.386423954075185, -0.381083234444546, -0.372324454250297, -0.36637336666187, -0.359476208738873, -0.351175204512964, -0.344369601783635, -0.338235403807872, -0.334115420092807, -0.332131724229998, -0.331155135497539, -0.331002543508092, -0.333260904951905, -0.335702376783055, -0.341989166748264, -0.348672695886036, -0.358285991221187, -0.366342848263981, -0.375406812437123, -0.384104549884796, -0.391978293657303, -0.398081958293915, -0.404094106453129, -0.406230394305385, -0.40696283585473, -0.405192768777147, -0.400798119481078, -0.391825710501603, -0.377909321064052, -0.359933984707213, -0.337899701431089, -0.310738327309551}"
"0","4.9999999999999998E-08","[42]{-0.337899701431089, -0.310738327309551, -0.281867922906208, -0.248877534787801, -0.211523015771213, -0.170750436191017, -0.126712388036658, -0.0827353766780777, -0.0383005893511576, 0.0063783451588784, 0.0509657244752464, 0.0948511806401582, 0.137454864093717, 0.175541824659649, 0.211400942179657, 0.242438152833145, 0.270484560493474, 0.292213659790705, 0.307137156358606, 0.318947776341792, 0.325417676694338, 0.323830720004091, 0.317635485232549, 0.305794346851474, 0.287025532149512, 0.264930212077609, 0.237097433202505, 0.205816075365902, 0.170567325803681, 0.132144662860966, 0.0908227521187613, 0.0487073630314324, 0.00558486681375506, -0.0385142181363831, -0.082949005463304, -0.125308541733748, -0.167912225187306, -0.207433550454039, -0.244849106266405, -0.281562738927315, -0.316658896500088, -0.345712411290768}"
"0","4.9999999999999998E-08","[42]{-0.316658896500088, -0.345712411290768, -0.373789337348987, -0.397929390079477, -0.419414342193594, -0.438763006455453, -0.454663091755814, -0.466900969309451, -0.475446120718473, -0.480878395542782, -0.484143864116944, -0.48435749290217, -0.481885502673131, -0.475507157514253, -0.465405567812872, -0.454663091755814, -0.43742019694832, -0.417979977492793, -0.395915175818779, -0.36930313285925, -0.340127544477013, -0.309456554598197, -0.274451952219092, -0.237066914804615, -0.197667663129441, -0.154850350890656, -0.111422670694085, -0.0655535186663639, -0.0208745841563281, 0.02514715986084, 0.0712299406737865, 0.115451099215481, 0.156162641999899, 0.194554786544725, 0.228826947374486, 0.260657636373097, 0.284584060318363, 0.303841169386554, 0.318490000373451, 0.326333228631019, 0.32721826216981, 0.321999616130728}"
"0","4.9999999999999998E-08","[42]{0.32721826216981, 0.321999616130728, 0.309975367362317, 0.292640917361155, 0.266517168767856, 0.235174774135474, 0.199010472636573, 0.159428110574061, 0.116153022366937, 0.0706195727159987, 0.023041390406473, -0.0241400527304909, -0.0717792718357953, -0.11844190220864, -0.162357876771441, -0.203222011545306, -0.237616245966624, -0.26825671744755, -0.292854546146381, -0.311653879246232, -0.323586572820976, -0.329781807592517, -0.328866255655837, -0.320107475461588, -0.303810650988665, -0.283302287607009, -0.256446097464364, -0.222692749398723, -0.186314819114595, -0.145847423513292, -0.10342685044707, -0.0575576984193493, -0.00936914815203697, 0.0370188166398039, 0.082704858280189, 0.12805519754379, 0.171238730557247, 0.213781377215027, 0.251227451425283, 0.284034729156354, 0.313027207151253, 0.338235403807872}"
"0","4.9999999999999998E-08","[42]{0.313027207151253, 0.338235403807872, 0.359903466309324, 0.377848284268272, 0.38813298435699, 0.397044356540686, 0.401072785062083, 0.402293520977657, 0.401194858653639, 0.397227466928022, 0.39005564342402, 0.383494187877806, 0.375773033211796, 0.367594102577445, 0.357034736907724, 0.347635070357798, 0.341104133209473, 0.335580303191498, 0.331368764282765, 0.327035151782475, 0.32578389746901, 0.327126706976143, 0.328438998085386, 0.33112461709965, 0.336404299934511, 0.340921022822137, 0.347909735938802, 0.355386743421698, 0.362467011732031, 0.370005056010705, 0.37751258189149, 0.383189003898912, 0.387247950818198, 0.38862127872322, 0.388621278723219, 0.386729138054079, 0.383066930307355, 0.374643852489888, 0.363382563668712, 0.350992094125628, 0.33304727616668, 0.311928544827236}"
"0","4.9999999999999998E-08","[42]{0.33304727616668, 0.311928544827236, 0.28855145204398, 0.26193940908445, 0.232245007938094, 0.2015129812635, 0.166294750099169, 0.130588224568608, 0.0923486720132297, 0.0537123802852882, 0.0141300182227772, -0.0250556046671721, -0.0646379667296834, -0.103396332049182, -0.141513811013003, -0.176823597371002, -0.211461978975435, -0.241278453713349, -0.269904710933576, -0.297035566657225, -0.320351622644703, -0.340066507681235, -0.358102880833852, -0.370951126345276, -0.381571528810775, -0.388590760325331, -0.392924372825621, -0.393565259181298, -0.393382148793962, -0.39106275055437, -0.386362917279407, -0.380442348088869, -0.373178969391199, -0.365579888316746, -0.358591175200081, -0.351236241308743, -0.343698197030069, -0.339120437346664, -0.333657644124467, -0.330025954775632, -0.32962921560307, -0.330148028367189}"
"0","4.9999999999999998E-08","[42]{-0.32962921560307, -0.330148028367189, -0.331307727486985, -0.335244600814714, -0.341043096413694, -0.348275956713475, -0.355661409002702, -0.364664336380065, -0.373392598176425, -0.382548117543236, -0.391215342543816, -0.397410577315358, -0.40262922335444, -0.407451130220961, -0.407176464639957, -0.405162250379258, -0.399699457157061, -0.389445275466234, -0.376169772384358, -0.358377546414856, -0.336038079159838, -0.309914330566539, -0.281135481356864, -0.247809390861674, -0.210424353447197, -0.170445252212124, -0.128726602297357, -0.083589891818981, -0.0392771780836178, 0.00680560272932902, 0.0520338684013732, 0.0953699934042765, 0.137607456083162, 0.176457376596329, 0.211248350190209, 0.244025109523391, 0.26923330618001, 0.290687739896236, 0.306831972379712, 0.319039331535459, 0.324196940778762, 0.322945686465298}"
"0","4.9999999999999998E-08","[42]{0.324196940778762, 0.322945686465298, 0.316536822908531, 0.305763828453584, 0.287422271322073, 0.264777620088162, 0.236792249223611, 0.20541933619334, 0.171086138567801, 0.13196155247363, 0.0908837889145395, 0.0484937342462067, 0.00469983327496261, -0.039216141287839, -0.0826438214844103, -0.125491652121084, -0.16721030203585, -0.206823182496251, -0.244177701512838, -0.280280966215961, -0.313637575109041, -0.344430638579414, -0.372721193422859, -0.397380058917468, -0.418407235063243, -0.436779310592643, -0.451153475998536, -0.463299798358505, -0.472058578552754, -0.479138846863087, -0.483167275384484, -0.482801054609811, -0.478467442109521, -0.472180652144311, -0.462506320013381, -0.450115850470297, -0.433544360416371, -0.413982067369285, -0.393168520008736, -0.366953216221768, -0.339608731712894, -0.308479965865738}"
"0","4.9999999999999998E-08","[42]{-0.339608731712894, -0.308479965865738, -0.274146768240198, -0.236426028448939, -0.196446927213866, -0.153629614975081, -0.110659710746851, -0.0645158931381253, -0.0198674770259795, 0.0252387150545077, 0.0699176495645435, 0.112857035394885, 0.153873762158196, 0.193089903446035, 0.227545174663133, 0.258185646144058, 0.282661401251331, 0.303474948611881, 0.318917257943902, 0.327126706976142, 0.327981222117044, 0.321877542539171, 0.309212407415083, 0.290840331885683, 0.266700279155192, 0.236456546846828, 0.200414318939483, 0.159855368144513, 0.118106199831856, 0.0714740878569009, 0.0240179791389328, -0.0243231631178269, -0.0719929006210204, -0.118228273423414, -0.161625435222096, -0.202764235576965, -0.238348687515969, -0.269294342975789, -0.295173944385974, -0.314003795883714, -0.325967007856346, -0.330727877927088}"
"0","4.9999999999999998E-08","[42]{-0.325967007856346, -0.330727877927088, -0.329415586817845, -0.320321104246813, -0.30500086850635, -0.283912655564796, -0.255652619119241, -0.22281482299028, -0.188084886192179, -0.147281788214093, -0.103304776855513, -0.0575271800214601, -0.00930811135625763, 0.0372019270271405, 0.0823386375055165, 0.128726602297357, 0.170658880997348, 0.212621678095231, 0.250708638661163, 0.285072354684592, 0.314247943066829, 0.340158062874903, 0.36155145979535, 0.378489170623949, 0.39002512502613, 0.399089089199273, 0.402842852139665, 0.402964925731223, 0.402537668160772, 0.39777679809003, 0.392191931276276, 0.385325291751168, 0.376230806112289, 0.366892158985138, 0.358194410800934, 0.349984986995279, 0.343606641836401, 0.337686072645864, 0.332345353015224, 0.328591590074832, 0.327523446148704, 0.326913078190916}"
